id;título;materia;periodicidad;modified;geo;territorial;por qué;temporal;por qué;vivo;api;tag swagger;formatos;palabras inversión;abierto;explorable;candidato
216;Boletín Económico Ciudad de  Zaragoza Nº 1 (1er Trimestre 2010);Economía;-;2010-03-16;N;no;;sí;palabra:trimestr;no (6017 d, sin periodicidad);no;;ms-excel oasis.opendocument.spreadsheet;contrat licencia;sí;no;no
273;Catálogo de datos;Sector Público;P0DT1S;-;N;no;;sí;tiempo real;no evaluable (sin modified);sí;Gobierno abierto: Datos abiertos;api atom+xml solr sparql-query text/rdf+n3;infraestructura;sí;no;no
285;Restaurantes;Turismo;P1M;2019-10-24;S;sí;geo=S;sí;periodicidad P1M;no (ratio 83,6);sí;Turismo: Restaurantes;api solr sparql-query;;sí;no;no
292;Boletín Económico Ciudad de  Zaragoza Nº 6 (2º Trimestre 2011);Economía;-;2011-04-26;N;no;;sí;palabra:trimestr;no (5611 d, sin periodicidad);no;;ms-excel oasis.opendocument.spreadsheet;contrat licencia;sí;no;no
289;Trámites y Servicios;Sector Público;P0DT1S;2024-09-25;N;no;;sí;tiempo real;no evaluable (tiempo real);sí;Ayuntamiento: Tramites y servicios;api solr sparql-query;;sí;no;no
296;AparcaBicis;Transporte;P0DT1S;2022-07-08;S;sí;geo=S, formato geo;sí;tiempo real;no evaluable (tiempo real);sí;Equipamientos y movilidad: Aparcamientos para bicicletas;api ogc.wfs_xml ogc.wms_xml sparql-query zip;equipamiento;sí;sí;no
145;Normativa Municipal;Legislación y Justicia;P0DT1S;2022-05-24;N;no;;sí;tiempo real;no evaluable (tiempo real);sí;Ayuntamiento: Normativa;api sparql-query;;sí;no;no
217;Boletín Económico Ciudad de Zaragoza Nº 0 (4º Trimestre 2009);Economía;-;2009-10-20;N;no;;sí;palabra:trimestr;no (6164 d, sin periodicidad);no;;ms-excel oasis.opendocument.spreadsheet;contrat licencia;sí;no;no
72;Centros de Salud;Salud;-;2022-06-16;S;sí;geo=S;no;;no (1542 d, sin periodicidad);no;;text/xml;equipamiento;sí;sí;no
272;Novedades de la Sede Electrónica;Sector Público;P0DT1S;2019-05-16;N;no;;sí;tiempo real;no evaluable (tiempo real);no;;rss+xml;;sí;no;no
282;Agenda de Zaragoza;Cultura y Ocio;P0DT1S;2022-05-04;S;sí;geo=S;sí;tiempo real;no evaluable (tiempo real);sí;Agenda Zaragoza;api solr sparql-query;;sí;sí;no
