id;título;materia;periodicidad;modified;geo;territorial;por qué;temporal;por qué;vivo;api;tag swagger;formatos;palabras inversión;abierto;explorable;candidato
2360;Renta 2016;Economía;P1Y;2020-06-25;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y, palabra:2016;no (ratio 6,2);no;;ms-excel oasis.opendocument.spreadsheet text/csv zip;;sí;no;no
1980;Proximidad a equipamientos;Sociedad y Bienestar;-;2017-10-25;S;sí;geo=S;no;;no (3237 d, sin periodicidad);no;;json;equipamiento;sí;no;no
2201;Indicadores Económicos Presupuestarios;Economía;P1Y;2019-05-14;N;no;;sí;periodicidad P1Y;no (ratio 7,3);sí;Ayuntamiento: Presupuestos;api;presupuest;sí;no;no
2123;Cuentas bancarias abiertas;Sector Público;P1Y;2026-05-12;N;no;;sí;periodicidad P1Y, palabra:2017;sí (ratio 0,3);sí;Ayuntamiento: Cuentas Bancarias;api;;sí;no;no
1922;Especies de árboles y arbustos;Medio Ambiente;-;2017-08-01;S;sí;geo=S;no;;no (3322 d, sin periodicidad);sí;Medio Ambiente: Especies en parques;api;;sí;no;no
2140;Indicadores Demográficos: Infancia y Juventud;Demografía;P1Y;2018-09-25;S;sí;geo=S;sí;periodicidad P1Y;no (ratio 8,0);no;;json;;sí;no;no
2340;Indicadores demográficos: Pacientes Covid-19;Salud;-;2021-05-21;S;sí;geo=S;no;;no (1933 d, sin periodicidad);no;;ms-excel oasis.opendocument.spreadsheet pdf text/csv zip;;sí;no;no
2203;Morosidad;Economía;P3M;2026-03-10;N;no;;sí;periodicidad P3M;sí (ratio 2,0);sí;;api;factura;sí;no;no
2440;Instalaciones Deportivas Elementales (potreros);Deporte;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;;sí;sí;no
2460;Piscinas cubiertas;Deporte;P1Y;2022-06-16;S;sí;geo=S;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;;sí;sí;no
2480;Reciclaje de Residuos;Medio Ambiente;-;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (1542 d, sin periodicidad);sí;;json text/csv;;sí;sí;no
2500;Entidades dependientes;Sector Público;-;2021-11-05;-;no;;no;;no (1765 d, sin periodicidad);no;;oasis.opendocument.spreadsheet text/csv text/xml;;sí;no;no
2520;Secciones Censales;Sector Público;-;2022-04-21;S;sí;geo=S, palabra:seccion, spatialRepresentationTypeCode;no;;no (1598 d, sin periodicidad);no;;json;;sí;no;no
2642;Centros de Documentación;Cultura y Ocio;P1Y;2022-06-14;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2640;Archivos;Cultura y Ocio;P1Y;2022-06-14;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2641;Bibliotecas;Cultura y Ocio;P1Y;2022-06-14;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2643;Zona Joven;Cultura y Ocio;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2644;Centros Municipales de Servicios Sociales Especializados;Sector Público;P1Y;2022-06-14;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2645;Centros de Tiempo Libre;Cultura y Ocio;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2693;Ciclos Formativos;Educación;P1Y;2022-06-14;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
3021;Procedimientos asociados a Cuadro de Clasificación Funcional;Ciencia y Tecnología;P0DT1S;2024-09-25;-;no;;sí;tiempo real;no evaluable (tiempo real);sí;;json text/csv;;sí;no;no
2649;Teatros;Cultura y Ocio;P1Y;2022-06-14;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2652;Educación Secundaria;Educación;P1Y;2022-06-14;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;;sí;sí;no
2840;Temperatura Superficial;Medio Ambiente;P1M;2023-05-09;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;sí;periodicidad P1M;no (ratio 40,5);no;;ogc.wms_xml;;sí;no;no
2860;Fuentes de agua para beber;Medio Ambiente;-;2023-07-13;S;sí;geo=S, formato geo;no;;no (1150 d, sin periodicidad);no;;json ogc.wfs_xml ogc.wms_xml;equipamiento;sí;sí;no
2646;Ludotecas;Educación;P1Y;2022-06-14;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2647;Museos;Cultura y Ocio;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2648;Salas de Exposiciones;Cultura y Ocio;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2650;Educación Infantil;Educación;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2651;Educación Primaria;Educación;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2653;Educación Especial;Educación;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2654;Educación para Adultos;Educación;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2656;Escuelas Taller;Educación;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2657;Centros Ocupacionales;Educación;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2658;Centros Sociolaborales;Educación;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
3061;Manzanas;Urbanismo e Infraestructuras;P1M;2024-09-24;S;sí;geo=S, palabra:cartograf, formato geo, spatialRepresentationTypeCode;sí;periodicidad P1M, palabra:1960;no (ratio 23,7);no;;ogc.wfs_xml ogc.wms_xml;;sí;no;no
4520;Datos origen IPPU - Inventario de Emisiones;Medio Ambiente;P1Y;2026-02-19;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y, palabra:serie;sí (ratio 0,5);no;;;;no;no;sí
2661;Centros de Convivencia;Sociedad y Bienestar;P1Y;2022-06-14;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2662;Centros Cívicos;Educación;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2663;Policía Local;Seguridad;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;;sí;sí;no
2664;Protección Civil;Seguridad;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;;sí;sí;no
2666;Centros Municipales de Servicios Sociales;Sector Público;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2667;Cementerios;Urbanismo e Infraestructuras;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;infraestructura;sí;sí;no
2668;Mercados;Urbanismo e Infraestructuras;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento infraestructura;sí;sí;no
2669;Oficinas de Turismo;Turismo;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;;sí;sí;no
2670;Parques de Bomberos;Seguridad;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;;sí;sí;no
2671;Educación Universitaria;Educación;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2672;Escuelas Infantiles;Educación;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2673;Libreria;Cultura y Ocio;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2674;Galerías de Arte;Cultura y Ocio;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2675;Formación Profesional;Educación;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2676;Idiomas;Educación;P1Y;2022-06-15;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2677;Justicia;Seguridad;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2678;Oficinas de Empleo INAEM;Empleo;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2679;Policia Nacional;Seguridad;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2655;Centros de Formación Musical;Educación;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2665;Protección del Consumidor;Salud;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2680;Hospitales;Transporte;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2681;Oficinas de Correos;Sociedad y Bienestar;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2682;Transporte;Transporte;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2683;Salas de Música;Cultura y Ocio;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2684;Parque Empresarial;Empleo;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2685;Residencias;Sociedad y Bienestar;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2687;Centros de día Servicios Sociales;Sociedad y Bienestar;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2688;Centros de Atención;Sociedad y Bienestar;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2689;Viviendas Tuteladas;Sociedad y Bienestar;P1Y;2022-05-27;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,3);sí;;json text/csv;equipamiento;sí;sí;no
2690;Puntos de recogida urbana de Aceite Vegetal usado;Medio Ambiente;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
2691;Productos ecológicos;Comercio;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;;sí;sí;no
2692;Bachillerato;Educación;P1Y;2022-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;no (ratio 4,2);sí;;json text/csv;equipamiento;sí;sí;no
3040;Clasificación Urbanística del municipio de Zaragoza;Urbanismo e Infraestructuras;-;2024-02-24;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (924 d, sin periodicidad);no;;ogc.wms_xml;;sí;no;no
3062;Parcelas;Urbanismo e Infraestructuras;P1M;2024-09-24;S;sí;geo=S, palabra:parcela, formato geo, spatialRepresentationTypeCode;sí;periodicidad P1M, palabra:1960;no (ratio 23,7);no;;ogc.wfs_xml ogc.wms_xml;licencia;sí;no;no
2880;Aforos Bicicleta y VMP;Transporte;P1M;2026-05-05;-;no;;sí;periodicidad P1M, palabra:trimestr;no (ratio 4,1);no;;ms-excel;;sí;no;no
2960;Cuadro de Clasificación Funcional y valoración de series documentales;Sector Público;P0DT1S;2024-08-16;-;no;;sí;tiempo real, palabra:serie;no evaluable (tiempo real);no;;json text/csv;;sí;no;no
2741;Reserva de espacios para carga y descarga;Transporte;-;2022-11-04;S;sí;geo=S;no;;no (1401 d, sin periodicidad);sí;Equipamientos y movilidad: Reserva de espacios;api;;sí;sí;no
2961;Tipos documentales;Sector Público;P0DT1S;2024-08-16;-;no;;sí;tiempo real;no evaluable (tiempo real);sí;;json text/csv;;sí;no;no
3744;Vivienda para menores de 20 años Zaragoza;;-;2025-12-18;-;no;;no;;sí (261 d, sin periodicidad);no;;;;no;sí;no
3360;indicadores sociodemográficos básicos;Demografía;P1Y;2026-08-11;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y, palabra:1900;sí (ratio 0,1);no;;json text/csv;;sí;no;sí
3520;Hogares;Demografía;-;2025-07-11;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (421 d, sin periodicidad);no;;json text/csv;;sí;sí;no
3522;Renta 2022;Economía;-;2025-07-11;S;sí;geo=S, spatialRepresentationTypeCode;sí;palabra:2022;no (421 d, sin periodicidad);no;;json text/csv;ingreso;sí;sí;no
3120;Termino Municipal;Urbanismo e Infraestructuras;NEVER;2025-05-16;S;sí;geo=S, palabra:cartograf, formato geo, spatialRepresentationTypeCode;sí;palabra:1960;no (477 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;sí;no;no
3320;Equipamientos estructurantes: Población por grupo de edad a menos de 300 metros de a nivel de sección censal;Sociedad y Bienestar;-;2025-06-18;S;sí;geo=S, palabra:sección, spatialRepresentationTypeCode;no;;no (444 d, sin periodicidad);no;;ms-excel;equipamiento;sí;sí;no
3241;Equipamientos: Infraestructura verde y descripción sociodemográfica de la población a menos de 300 metros;Sociedad y Bienestar;-;2025-06-13;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (449 d, sin periodicidad);no;;json;equipamiento infraestructura;sí;sí;no
3701;Hemeroteca digital;Sociedad y Bienestar;-;2025-07-31;-;no;;sí;palabra:históric;no (401 d, sin periodicidad);sí;;json;obra;sí;no;no
3480;Nivel de formación académica;Demografía;-;2025-07-07;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (425 d, sin periodicidad);no;;json text/csv;licencia;sí;sí;no
3400;Grupos de Edad;Demografía;-;2025-07-04;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (428 d, sin periodicidad);no;;json text/csv;;sí;sí;no
3581;Índice de Feminidad;Demografía;-;2025-07-15;-;no;;no;;no (417 d, sin periodicidad);no;;json text/csv;;sí;sí;no
3260;Indicador Sintético de Vulnerabilidad;Demografía;NEVER;2025-06-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;palabra:1940;no (446 d, sin periodicidad);sí;;json text/csv;equipamiento;sí;no;no
3580;Origen de los residentes;Demografía;-;2025-07-15;-;no;;no;;no (417 d, sin periodicidad);no;;json text/csv;;sí;sí;no
3521;Edificación y  vivienda;Vivienda;-;2025-07-11;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (421 d, sin periodicidad);no;;json text/csv;;sí;sí;no
3720;Viviendas empadronadas en edificios;Demografía;-;2025-10-31;S;sí;geo=S, spatialRepresentationTypeCode;no;;sí (309 d, sin periodicidad);no;;json ms-excel;;sí;sí;no
3781;Vivienda unipersonal Manzana Centroide;Sociedad y Bienestar;-;2025-12-19;S;sí;geo=S;no;;sí (260 d, sin periodicidad);no;;;;no;sí;no
3321;Equipamientos estructurantes: Población por grupo de edad a menos de 300 metros de a nivel de manzana;Sociedad y Bienestar;-;2025-06-18;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (444 d, sin periodicidad);no;;;equipamiento;sí;sí;no
3460;Población de nacionalidad extranjera;Demografía;-;2025-07-09;S;sí;geo=S, spatialRepresentationTypeCode;sí;palabra:2024;no (423 d, sin periodicidad);no;;json text/csv;;sí;sí;no
3541;Índice de Natalidad;Demografía;-;2025-07-14;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (418 d, sin periodicidad);no;;json text/csv;;sí;sí;no
3540;Ternario de grupos de población mayores de 65 años;Demografía;-;2025-07-14;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (418 d, sin periodicidad);no;;json text/csv;;sí;sí;no
3502;Vivienda por personas;Vivienda;-;2025-07-10;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (422 d, sin periodicidad);no;;json text/csv;;sí;sí;no
3301;Equipamientos estructurantes: Población por grupo de edad a menos de 300 metros de a nivel de junta;Sociedad y Bienestar;P2Y;2025-06-17;S;sí;geo=S, palabra:junta, spatialRepresentationTypeCode;sí;periodicidad P2Y;sí (ratio 0,6);no;;ms-excel;equipamiento;sí;sí;sí
3560;Ternario de grupos de población menor de 18 años;Demografía;-;2025-07-15;-;no;;no;;no (417 d, sin periodicidad);no;;json text/csv;;sí;sí;no
3740;Superficie Media Vivienda por Tipo para Zaragoza;Sociedad y Bienestar;-;2025-12-18;-;no;;no;;sí (261 d, sin periodicidad);no;;ms-excel;;sí;sí;no
3742;Vivienda por Tipo y edad Zaragoza;Sociedad y Bienestar;-;2025-12-18;-;no;;no;;sí (261 d, sin periodicidad);no;;;;no;sí;no
3786;Indicadores Huerva;;-;2025-12-19;-;no;;no;;sí (260 d, sin periodicidad);no;;;;no;sí;no
3782;Vivienda unipersonal escala poligono Distrito;Sociedad y Bienestar;-;2025-12-19;S;sí;geo=S, palabra:distrito;no;;sí (260 d, sin periodicidad);no;;;;no;sí;no
3900;Elementos Catalogados;Urbanismo e Infraestructuras;NEVER;2024-02-24;S;sí;geo=S, spatialRepresentationTypeCode;sí;palabra:históric;no (924 d, sin periodicidad);no;;;;no;no;no
3960;Elementos Catalogados Medio Rural;Urbanismo e Infraestructuras;-;2024-02-24;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;sí;palabra:históric;no (924 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;no;no;no
3961;Áreas de Referencia;Urbanismo e Infraestructuras;P0DT1S;2024-02-24;S;sí;geo=S, palabra:cartograf, formato geo, spatialRepresentationTypeCode;sí;tiempo real;no evaluable (tiempo real);no;;ogc.wfs_xml ogc.wms_xml;;sí;no;no
3995;Puntos de Recarga VE;Transporte;NEVER;2025-07-15;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (417 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;sí;no;no
3998;ZBE;Transporte;IRREG;2025-07-15;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (417 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;sí;no;no
4000;Veladores en calzada;Transporte;IRREG;2025-07-15;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (417 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;sí;no;no
3783;Vivienda unipersonal Manzana Poligono;Sociedad y Bienestar;-;2025-12-19;S;sí;geo=S;no;;sí (260 d, sin periodicidad);no;;;;no;sí;no
3640;Población mayor de 80 años;Demografía;-;2025-07-18;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (414 d, sin periodicidad);no;;json text/csv;;sí;sí;no
3784;Vivienda unipersonal SC Centroide;Sociedad y Bienestar;-;2025-12-19;S;sí;geo=S;no;;sí (260 d, sin periodicidad);no;;;;no;sí;no
3785;Vivienda unipersonal SC Poligono;Sociedad y Bienestar;-;2025-12-19;S;sí;geo=S, spatialRepresentationTypeCode;no;;sí (260 d, sin periodicidad);no;;;;no;sí;no
3980;Aparcamientos Bici;Transporte;IRREG;2026-06-20;S;sí;geo=S, spatialRepresentationTypeCode;no;;sí (77 d, sin periodicidad);no;;;;no;no;no
3964;Juntas Municipales y Vecinales;Urbanismo e Infraestructuras;NEVER;2026-03-18;S;sí;geo=S, palabra:junta, formato geo, spatialRepresentationTypeCode;no;;sí (171 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;sí;no;no
3988;Fichas Aforos Vehículos;Transporte;NEVER;2024-12-31;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (613 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;no;no;no
3992;Estacionamientos;Transporte;NEVER;2025-07-15;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (417 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;no;no;no
3993;Jerarquía Viaria;Transporte;NEVER;2025-07-15;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (417 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;no;no;no
3982;Badenes;Transporte;NEVER;2025-01-01;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (612 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;no;no;no
3983;Estaciones Bizi;Transporte;NEVER;2025-07-25;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (407 d, sin periodicidad);no;;;;no;no;no
3996;Reservas;Transporte;NEVER;2025-07-15;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (417 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;sí;no;no
3780;vivienda unipersonal Distrito Centroide;Sociedad y Bienestar;-;2025-12-19;S;sí;geo=S, palabra:distrito;no;;sí (260 d, sin periodicidad);no;;;;no;sí;no
3963;Equipamientos Urbanismo;Urbanismo e Infraestructuras;P3M;2024-02-24;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;sí;periodicidad P3M;no (ratio 10,3);no;;ogc.wfs_xml ogc.wms_xml;equipamiento;sí;no;no
3984;Ubicación aforos Bici y VMP;Transporte;NEVER;2025-07-15;S;sí;geo=S, palabra:ubicación, formato geo, spatialRepresentationTypeCode;no;;no (417 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;sí;no;no
3990;Comparativas viales IML 2023 y 2024;Transporte;P1Y;2024-12-31;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;sí;periodicidad P1Y, palabra:2023;sí (ratio 1,7);no;;ogc.wfs_xml ogc.wms_xml;;sí;no;sí
3997;Vías Ciclables;Transporte;IRREG;2025-07-15;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;sí;palabra:serie;no (417 d, sin periodicidad);no;;json ogc.wfs_xml ogc.wms_xml zip;;sí;no;no
3600;Distribución de población por generaciones;Demografía;-;2025-07-16;S;sí;geo=S, spatialRepresentationTypeCode;sí;palabra:1948;no (416 d, sin periodicidad);no;;json text/csv;;sí;sí;no
3985;Comparativa Bici 2023 y 2024;Transporte;P1Y;2024-12-21;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;sí;periodicidad P1Y, palabra:2023;sí (ratio 1,7);no;;ogc.wfs_xml ogc.wms_xml;;sí;no;sí
4001;Cámaras Tráfico;Transporte;IRREG;2025-07-15;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (417 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;no;no;no
4002;Semáforos 1;Transporte;IRREG;2025-07-15;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (417 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;no;no;no
4003;Semáforos 2;Transporte;IRREG;2025-07-15;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (417 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;no;no;no
4020;Comparativa Anual de Uso de Carriles Bici;Transporte;P1Y;2024-01-01;-;no;;sí;periodicidad P1Y, palabra:anual;no (ratio 2,7);no;;;;sí;no;no
4023;Comparativa Viales;Transporte;P1Y;2024-01-01;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y, palabra:anual;no (ratio 2,7);no;;;;sí;no;no
4024;Intensidad Media en día Laborable en diferentes años;Transporte;P1Y;2025-01-01;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P1Y;sí (ratio 1,7);no;;;;sí;no;sí
4080;Equipamientos: Distancia media para la población empadronada en juntas;Sociedad y Bienestar;P4Y;2026-02-06;S;sí;geo=S, palabra:junta, spatialRepresentationTypeCode;sí;periodicidad P4Y, palabra:2020;sí (ratio 0,1);no;;;equipamiento infraestructura;no;sí;sí
4100;Equipamientos: Distancia media para la población empadronada en manzanas;Sociedad y Bienestar;P4Y;2026-02-09;S;sí;geo=S, spatialRepresentationTypeCode;sí;periodicidad P4Y, palabra:2020;sí (ratio 0,1);no;;;equipamiento;no;no;sí
4101;Equipamientos estructurantes : Distancia media para la población empadronada en juntas en tres categorías de edad (todos - adultos - menores);Sociedad y Bienestar;-;2026-02-09;-;sí;palabra:junta;sí;palabra:2022;sí (208 d, sin periodicidad);no;;;equipamiento infraestructura;no;no;sí
4004;Señalización Horizontal;Transporte;IRREG;2025-07-15;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;no;;no (417 d, sin periodicidad);no;;ogc.wfs_xml ogc.wms_xml;;no;no;no
4005;Señalización Vertical;Transporte;IRREG;2025-07-15;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (417 d, sin periodicidad);no;;;;no;no;no
